"frame","seconds","leftfemurX","leftfemurY","leftfemurZ","rightfemurX","rightfemurY","rightfemurZ","waistX","waistY","waistZ","upperspineX","upperspineY","upperspineZ","rightshoulderX","rightshoulderY","rightshoulderZ","rightelbowX","rightelbowY","rightelbowZ","rightwristX","rightwristY","rightwristZ","leftshoulderX","leftshoulderY","leftshoulderZ","leftelbowX","leftelbowY","leftelbowZ","leftwristX","leftwristY","leftwristZ","neckX","neckY","neckZ","headbaseX","headbaseY","headbaseZ","sphnosetipX","sphnosetipY","sphnosetipZ","sphheadtopX","sphheadtopY","sphheadtopZ"
0,0.000,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.00,130.96,0.01,0.00,149.37,18.53,0.03,166.58,23.31,-3.61,135.60,8.36,22.23,130.45,-18.41,1.04,166.30,-23.59,-4.05,135.59,-9.74,22.13,129.22,0.03,0.00,171.80,0.03,0.00,177.70,-0.08,17.38,188.21,-0.08,5.88,209.71
1,0.033,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.00,130.96,0.00,0.03,149.37,18.53,0.29,166.73,23.86,-1.80,135.69,7.21,23.45,133.82,-18.44,1.22,166.27,-23.60,-3.92,135.56,-9.59,22.17,129.15,-0.01,0.08,171.80,-0.02,0.11,177.70,-0.12,17.54,188.12,-0.22,6.15,209.68
2,0.067,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.02,130.96,-0.03,0.09,149.37,18.50,0.63,166.90,24.43,0.34,135.91,6.06,24.37,137.63,-18.49,1.48,166.23,-23.63,-3.74,135.53,-9.42,22.22,129.05,-0.08,0.23,171.80,-0.11,0.28,177.70,-0.20,17.78,188.00,-0.41,6.54,209.64
3,0.100,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.02,130.96,-0.05,0.13,149.37,18.48,0.95,167.08,24.97,2.70,136.24,5.02,24.84,141.70,-18.53,1.71,166.18,-23.62,-3.58,135.49,-9.23,22.27,128.95,-0.14,0.35,171.80,-0.19,0.44,177.70,-0.27,18.01,187.88,-0.61,6.91,209.59
4,0.133,-12.77,-0.14,113.90,12.77,-0.14,113.92,-0.02,0.03,130.96,-0.07,0.18,149.37,18.45,1.29,167.26,25.48,5.21,136.75,4.20,24.80,145.79,-18.57,1.96,166.13,-23.63,-3.41,135.45,-9.04,22.32,128.86,-0.20,0.48,171.79,-0.27,0.59,177.70,-0.33,18.24,187.75,-0.80,7.30,209.54
5,0.167,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.04,130.96,-0.09,0.23,149.37,18.42,1.63,167.45,25.93,7.76,137.42,3.67,24.27,149.67,-18.61,2.20,166.09,-23.64,-3.23,135.41,-8.85,22.36,128.76,-0.27,0.61,171.79,-0.35,0.76,177.70,-0.40,18.47,187.63,-0.99,7.68,209.49
6,0.200,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.04,130.96,-0.11,0.28,149.37,18.38,1.96,167.63,26.27,10.23,138.21,3.43,23.38,153.15,-18.66,2.43,166.03,-23.63,-3.08,135.36,-8.67,22.40,128.65,-0.34,0.74,171.79,-0.44,0.92,177.69,-0.49,18.70,187.50,-1.20,8.06,209.43
7,0.233,-12.77,-0.14,113.89,12.77,-0.14,113.93,-0.03,0.05,130.96,-0.13,0.32,149.37,18.35,2.26,167.79,26.53,12.47,139.07,3.47,22.30,156.10,-18.69,2.64,165.99,-23.63,-2.94,135.32,-8.50,22.43,128.57,-0.39,0.85,171.79,-0.51,1.06,177.69,-0.54,18.90,187.39,-1.36,8.40,209.38
8,0.267,-12.77,-0.14,113.89,12.77,-0.14,113.94,-0.03,0.06,130.96,-0.15,0.35,149.37,18.32,2.51,167.93,26.69,14.38,139.91,3.70,21.19,158.43,-18.72,2.82,165.94,-23.62,-2.82,135.28,-8.36,22.46,128.49,-0.44,0.95,171.79,-0.58,1.18,177.69,-0.60,19.07,187.29,-1.51,8.69,209.33
9,0.300,-12.77,-0.14,113.89,12.77,-0.14,113.94,-0.03,0.06,130.96,-0.16,0.38,149.37,18.29,2.71,168.03,26.79,15.86,140.64,4.00,20.24,160.11,-18.74,2.96,165.91,-23.61,-2.72,135.25,-8.24,22.48,128.43,-0.48,1.02,171.78,-0.63,1.27,177.68,-0.64,19.21,187.21,-1.63,8.92,209.30
