murX,murY,murZ,rightfemurX,rightfemurY,rightfemurZ,murX,murY,murZ,murX,murY,murZ,leftfemurX,leftfemurY,leftfemurZ,murX,murY,murZ,murX,murY,murZ,upperspineX,upperspineY,upperspineZ,neckX,neckY,neckZ,sphnosetipX,sphnosetipY,sphnosetipZ,sphheadtopX,sphheadtopY,sphheadtopZ,leftshoulderX,leftshoulderY,leftshoulderZ,leftelbowX,leftelbowY,leftelbowZ,leftwristX,leftwristY,leftwristZ,rightshoulderX,rightshoulderY,rightshoulderZ,rightelbowX,rightelbowY,rightelbowZ,rightwristX,rightwristY,rightwristZ
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.0,149.37,0.03,0.0,171.8,-0.08,17.38,188.21,-0.08,5.88,209.71,-18.41,1.04,166.3,-23.59,-4.05,135.59,-9.74,22.13,129.22,18.53,0.03,166.58,23.31,-3.61,135.6,8.36,22.23,130.45
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.06,149.37,0.03,0.16,171.8,-0.05,17.61,188.13,0.01,6.2,209.68,-18.41,1.18,166.28,-23.63,-3.01,135.44,-8.96,23.01,130.36,18.53,0.17,166.57,23.99,-2.33,135.59,7.83,23.21,133.49
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.11,149.37,0.03,0.3,171.8,-0.01,17.81,188.07,0.12,6.48,209.66,-18.41,1.29,166.27,-23.65,-1.83,135.31,-8.06,23.9,131.74,18.53,0.29,166.57,24.69,-1.01,135.65,7.43,23.88,136.57
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.17,149.37,0.03,0.45,171.8,0.02,18.03,187.99,0.19,6.8,209.63,-18.4,1.41,166.24,-23.57,-0.79,135.19,-7.27,24.65,132.9,18.52,0.41,166.56,25.38,0.37,135.76,7.17,24.27,139.64
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.23,149.37,0.03,0.6,171.79,0.05,18.25,187.91,0.29,7.11,209.6,-18.4,1.53,166.23,-23.51,-0.13,135.13,-6.81,25.1,133.54,18.52,0.54,166.56,26.13,1.79,135.96,7.05,24.36,142.68
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.28,149.37,0.03,0.75,171.79,0.08,18.46,187.83,0.38,7.42,209.57,-18.4,1.66,166.22,-23.36,-0.44,135.13,-7.79,25.33,131.76,18.52,0.67,166.55,26.89,3.25,136.23,7.09,24.16,145.64
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.34,149.37,0.02,0.9,171.79,0.09,18.69,187.75,0.43,7.74,209.54,-18.41,1.78,166.2,-23.05,-1.55,135.17,-10.56,24.9,127.25,18.51,0.8,166.55,27.68,4.72,136.61,7.26,23.69,148.5
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.4,149.37,0.02,1.05,171.79,0.12,18.9,187.67,0.52,8.05,209.5,-18.41,1.9,166.2,-22.72,-2.67,135.27,-13.49,23.36,122.81,18.51,0.93,166.55,28.48,6.2,137.07,7.59,22.96,151.23
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.45,149.37,0.02,1.2,171.78,0.14,19.12,187.59,0.6,8.36,209.47,-18.41,2.02,166.19,-22.32,-3.81,135.42,-16.33,20.68,118.62,18.51,1.06,166.54,29.3,7.66,137.63,8.05,21.99,153.79
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.51,149.37,0.01,1.35,171.78,0.16,19.34,187.51,0.68,8.68,209.43,-18.42,2.15,166.19,-21.89,-4.95,135.64,-18.9,16.91,114.88,18.5,1.19,166.54,30.14,9.11,138.29,8.64,20.8,156.17
