"frame","seconds","leftfemurX","leftfemurY","leftfemurZ","rightfemurX","rightfemurY","rightfemurZ","waistX","waistY","waistZ","upperspineX","upperspineY","upperspineZ","rightshoulderX","rightshoulderY","rightshoulderZ","rightelbowX","rightelbowY","rightelbowZ","rightwristX","rightwristY","rightwristZ","leftshoulderX","leftshoulderY","leftshoulderZ","leftelbowX","leftelbowY","leftelbowZ","leftwristX","leftwristY","leftwristZ","neckX","neckY","neckZ","headbaseX","headbaseY","headbaseZ","sphnosetipX","sphnosetipY","sphnosetipZ","sphheadtopX","sphheadtopY","sphheadtopZ"
0,0.000,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.00,130.96,0.01,0.00,149.37,18.53,0.03,166.58,23.31,-3.61,135.60,8.36,22.23,130.45,-18.41,1.04,166.30,-23.59,-4.05,135.59,-9.74,22.13,129.22,0.03,0.00,171.80,0.03,0.00,177.70,-0.08,17.38,188.21,-0.08,5.88,209.71
1,0.033,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.01,130.96,0.01,0.06,149.37,18.53,0.17,166.57,23.99,-2.33,135.59,7.83,23.21,133.49,-18.41,1.18,166.28,-23.63,-3.01,135.44,-8.96,23.01,130.36,0.03,0.16,171.80,0.04,0.19,177.70,-0.05,17.61,188.13,0.01,6.20,209.68
2,0.067,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.02,130.96,0.01,0.11,149.37,18.53,0.29,166.57,24.69,-1.01,135.65,7.43,23.88,136.57,-18.41,1.29,166.27,-23.65,-1.83,135.31,-8.06,23.90,131.74,0.03,0.30,171.80,0.05,0.34,177.70,-0.01,17.81,188.07,0.12,6.48,209.66
3,0.100,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.03,130.96,0.01,0.17,149.37,18.52,0.41,166.56,25.38,0.37,135.76,7.17,24.27,139.64,-18.40,1.41,166.24,-23.57,-0.79,135.19,-7.27,24.65,132.90,0.03,0.45,171.80,0.06,0.52,177.70,0.02,18.03,187.99,0.19,6.80,209.63
4,0.133,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.04,130.96,0.01,0.23,149.37,18.52,0.54,166.56,26.13,1.79,135.96,7.05,24.36,142.68,-18.40,1.53,166.23,-23.51,-0.13,135.13,-6.81,25.10,133.54,0.03,0.60,171.79,0.06,0.70,177.70,0.05,18.25,187.91,0.29,7.11,209.60
5,0.167,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.05,130.96,0.01,0.28,149.37,18.52,0.67,166.55,26.89,3.25,136.23,7.09,24.16,145.64,-18.40,1.66,166.22,-23.36,-0.44,135.13,-7.79,25.33,131.76,0.03,0.75,171.79,0.07,0.87,177.70,0.08,18.46,187.83,0.38,7.42,209.57
6,0.200,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.05,130.96,0.01,0.34,149.37,18.51,0.80,166.55,27.68,4.72,136.61,7.26,23.69,148.50,-18.41,1.78,166.20,-23.05,-1.55,135.17,-10.56,24.90,127.25,0.02,0.90,171.79,0.06,1.05,177.69,0.09,18.69,187.75,0.43,7.74,209.54
7,0.233,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.06,130.96,0.01,0.40,149.37,18.51,0.93,166.55,28.48,6.20,137.07,7.59,22.96,151.23,-18.41,1.90,166.20,-22.72,-2.67,135.27,-13.49,23.36,122.81,0.02,1.05,171.79,0.07,1.22,177.69,0.12,18.90,187.67,0.52,8.05,209.50
8,0.267,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.07,130.96,0.01,0.45,149.37,18.51,1.06,166.54,29.30,7.66,137.63,8.05,21.99,153.79,-18.41,2.02,166.19,-22.32,-3.81,135.42,-16.33,20.68,118.62,0.02,1.20,171.78,0.07,1.40,177.68,0.14,19.12,187.59,0.60,8.36,209.47
9,0.300,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.08,130.96,0.01,0.51,149.37,18.50,1.19,166.54,30.14,9.11,138.29,8.64,20.80,156.17,-18.42,2.15,166.19,-21.89,-4.95,135.64,-18.90,16.91,114.88,0.01,1.35,171.78,0.07,1.58,177.68,0.16,19.34,187.51,0.68,8.68,209.43
10,0.333,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.09,130.96,0.01,0.56,149.37,18.50,1.31,166.53,30.98,10.50,139.04,9.37,19.40,158.32,-18.42,2.27,166.18,-21.35,-6.07,135.89,-20.89,12.22,111.73,0.01,1.50,171.77,0.08,1.75,177.67,0.20,19.56,187.43,0.77,8.98,209.39
11,0.367,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,0.00,0.63,149.36,18.47,1.46,166.54,31.85,11.88,139.92,10.20,17.83,160.26,-18.44,2.40,166.15,-20.70,-7.17,136.16,-22.16,6.72,109.28,-0.02,1.66,171.77,0.05,1.94,177.67,0.18,19.79,187.34,0.80,9.32,209.35
12,0.400,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,0.00,0.63,149.36,18.47,1.46,166.53,31.86,11.80,139.89,10.20,17.61,160.26,-18.44,2.40,166.15,-20.68,-7.17,136.16,-22.12,6.72,109.27,-0.02,1.66,171.77,0.05,1.94,177.67,0.17,19.79,187.34,0.78,9.32,209.35
13,0.433,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,0.00,0.63,149.36,18.47,1.46,166.53,31.88,11.72,139.87,10.20,17.36,160.27,-18.44,2.39,166.14,-20.67,-7.18,136.15,-22.09,6.71,109.26,-0.02,1.66,171.77,0.05,1.94,177.67,0.16,19.80,187.34,0.77,9.33,209.35
14,0.467,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,0.00,0.63,149.36,18.47,1.46,166.53,31.91,11.64,139.85,10.20,17.11,160.27,-18.45,2.39,166.13,-20.65,-7.18,136.14,-22.06,6.70,109.25,-0.02,1.66,171.77,0.04,1.94,177.67,0.15,19.80,187.33,0.75,9.33,209.35
15,0.500,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,-0.00,0.63,149.36,18.45,1.47,166.53,31.92,11.58,139.84,10.20,16.92,160.28,-18.45,2.39,166.12,-20.63,-7.19,136.13,-22.02,6.69,109.23,-0.03,1.67,171.77,0.03,1.95,177.67,0.12,19.81,187.33,0.71,9.34,209.35
16,0.533,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,-0.00,0.63,149.36,18.45,1.47,166.53,31.92,11.55,139.83,10.20,16.82,160.28,-18.45,2.39,166.12,-20.61,-7.19,136.13,-21.99,6.68,109.22,-0.04,1.67,171.77,0.02,1.95,177.67,0.11,19.81,187.33,0.70,9.35,209.35
17,0.567,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,-0.01,0.63,149.36,18.44,1.47,166.53,31.91,11.55,139.82,10.19,16.85,160.28,-18.46,2.38,166.11,-20.59,-7.20,136.12,-21.96,6.67,109.21,-0.05,1.67,171.77,0.01,1.95,177.66,0.09,19.81,187.33,0.67,9.36,209.34
18,0.600,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,-0.01,0.63,149.36,18.44,1.47,166.52,31.87,11.60,139.82,10.19,17.00,160.29,-18.46,2.38,166.10,-20.57,-7.20,136.11,-21.92,6.66,109.20,-0.05,1.67,171.77,0.00,1.95,177.66,0.07,19.82,187.32,0.65,9.36,209.34
19,0.633,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,-0.01,0.63,149.36,18.44,1.47,166.52,31.83,11.67,139.82,10.19,17.23,160.29,-18.46,2.38,166.10,-20.55,-7.21,136.10,-21.89,6.65,109.19,-0.05,1.67,171.77,-0.00,1.96,177.66,0.06,19.82,187.32,0.63,9.37,209.34
20,0.667,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,-0.01,0.63,149.36,18.43,1.47,166.52,31.79,11.74,139.83,10.20,17.48,160.29,-18.46,2.38,166.09,-20.53,-7.21,136.10,-21.86,6.65,109.18,-0.05,1.67,171.77,-0.00,1.96,177.66,0.05,19.82,187.32,0.62,9.37,209.34
21,0.700,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,-0.01,0.63,149.36,18.42,1.48,166.52,31.74,11.81,139.84,10.19,17.72,160.30,-18.47,2.37,166.08,-20.51,-7.22,136.08,-21.82,6.64,109.17,-0.06,1.67,171.77,-0.02,1.96,177.66,0.03,19.83,187.32,0.58,9.38,209.34
